Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps;;;
A3205;32;1000;140; 0.1; 2032.6512505501303; 0.063398635;2529;;
A3205;32;1000;160; 0.1; 1724.5891074294227; 0.064654874;2529;;
A3205;32;1000;180; 0.1; 1724.5891074294227; 0.064756691;2529;;
A3205;32;1000;200; 0.1; 1724.5891074294227; 0.06433245;2529;;
A3205;32;1000;220; 0.1; 1636.5561938720007; 0.066243233;2529;;
A3205;32;1000;240; 0.1; 1666.5906726310413; 0.065432569;2529;;
A3205;32;1000;260; 0.1; 1666.5906726310413; 0.06463354;2529;;
A3205;32;1000;280; 0.1; 1666.5906726310413; 0.064780934;2529;;
A3205;32;1000;300; 0.1; 1666.5906726310413; 0.064993782;2529;;
A3205;32;1000;20; 0.1; 1666.5906726310413; 0.065644932;2529;;
A3205;32;1000;40; 0.1; 1666.5906726310413; 0.064780934;2529;;
A3205;32;1000;60; 0.1; 1818.14794826588; 0.064866752;2529;;
A3205;32;1000;80; 0.1; 2069.171810474775; 0.067859229;2529;;
A3205;32;1000;100; 0.1; 1603.3317588611571; 0.066835231;2529;;
A3205;32;1000;120; 0.1; 1665.0015045112264; 0.064711601;2529;;
A3205;32;1000;140; 0.1; 1981.2883012317786; 0.063043242;2529;;
A3205;32;1000;160; 0.1; 1879.6836032834199; 0.065184812;2529;;
A3205;32;1000;180; 0.1; 1879.6836032834199; 0.065247357;2529;;
A3205;32;1000;200; 0.1; 1879.6836032834199; 0.06522263;2529;;
A3205;32;1000;220; 0.1; 1617.541019546742; 0.065798144;2529;;
A3205;32;1000;240; 0.1; 1617.541019546742; 0.066541414;2529;;
A3205;32;1000;260; 0.1; 1617.541019546742; 0.065383599;2529;;
A3205;32;1000;280; 0.1; 1617.541019546742; 0.065502872;2529;;
A3205;32;1000;300; 0.1; 1617.541019546742; 0.06563184;2529;;
A3205;32;1000;20; 0.1; 1617.541019546742; 0.064765419;2529;;
A3205;32;1000;40; 0.1; 1768.537772507328; 0.063800088;2529;;
A3205;32;1000;60; 0.1; 1779.4455028713433; 0.064367359;2529;;
A3205;32;1000;80; 0.1; 1686.2468884654713; 0.067049049;2529;;
A3205;32;1000;100; 0.1; 1686.2468884654713; 0.065091722;2529;;
A3205;32;1000;120; 0.1; 1686.2468884654713; 0.065034024;2529;;
A3205;32;1000;140; 0.1; 1760.612211746357; 0.065453902;2529;;
A3205;32;1000;160; 0.1; 1606.7993294354135; 0.065235721;2529;;
A3205;32;1000;180; 0.1; 1553.5215382248814; 0.065540205;2529;;
A3205;32;1000;200; 0.1; 1790.6057341542403; 0.068629652;2529;;
A3205;32;1000;220; 0.1; 1790.6057341542403; 0.068924924;2529;;
A3205;32;1000;240; 0.1; 2290.069536144966; 0.067196443;2529;;
A3205;32;1000;260; 0.1; 2290.069536144966; 0.067801533;2529;;
A3205;32;1000;280; 0.1; 2346.2262885623168; 0.070835708;2529;;
A3205;32;1000;300; 0.1; 2162.407528433807; 0.066732445;2529;;
