Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps
A6009; 60; 100000; 40; 0.15; 2726.3957846352505; 14.947416854
A6009; 60; 100000; 40; 0.2; 2726.3957846352505; 14.98096344
A6009; 60; 100000; 60; 0.1; 2790.920568677836; 14.942473352
A6009; 60; 100000; 60; 0.15; 3135.4796779619537; 15.795148133
A6009; 60; 100000; 60; 0.2; 4061.240346356463; 15.931678711
A6009; 60; 100000; 80; 0.1; 4061.2403463564624; 15.952816114
A6009; 60; 100000; 80; 0.15; 2724.4294232251864; 14.848777579
A6009; 60; 100000; 80; 0.2; 2949.663072913436; 15.615587356
A6009; 60; 100000; 100; 0.1; 2894.310399059047; 15.662889544
A6009; 60; 100000; 100; 0.15; 3076.569441488568; 15.419522377
A6009; 60; 100000; 100; 0.2; 3098.0208006146822; 15.401421088
A6009; 60; 100000; 120; 0.1; 3720.1589156008554; 16.374368547
A6009; 60; 100000; 120; 0.15; 3435.898927132917; 14.735918701
A6009; 60; 100000; 120; 0.2; 3437.6529837330195; 15.016110021
A6009; 60; 100000; 140; 0.1; 3437.6529837330195; 15.011644577
A6009; 60; 100000; 140; 0.15; 3437.6529837330195; 15.01838638
A6009; 60; 100000; 140; 0.2; 2707.675335816954; 14.661978516
A6009; 60; 100000; 160; 0.1; 3016.5595600241713; 14.998677337
A6009; 60; 100000; 160; 0.15; 3070.9795331352875; 15.719644801
A6009; 60; 100000; 160; 0.2; 2841.210033194603; 15.531148288
A6009; 60; 100000; 180; 0.1; 2841.210033194603; 15.503226416
A6009; 60; 100000; 180; 0.15; 2961.396327195394; 14.965897295
A6009; 60; 100000; 180; 0.2; 2961.396327195394; 14.952339995
A6009; 60; 100000; 200; 0.1; 2961.396327195394; 15.013214513
A6009; 60; 100000; 200; 0.15; 2768.6688632890464; 15.174688546
A6009; 60; 100000; 200; 0.2; 2920.8372007302373; 14.824027094
A6009; 60; 100000; 220; 0.1; 2892.8689829583327; 15.553132719
A6009; 60; 100000; 220; 0.15; 2876.68139988313; 15.205727986
A6009; 60; 100000; 220; 0.2; 2961.108129783488; 15.41338518
A6009; 60; 100000; 240; 0.1; 2770.6224983571346; 15.114274632
A6009; 60; 100000; 240; 0.15; 3852.588595691438; 15.899286062
A6009; 60; 100000; 240; 0.2; 3881.290885244989; 16.410315611
A6009; 60; 100000; 260; 0.1; 3723.798782753029; 15.933206949
A6009; 60; 100000; 260; 0.15; 3723.798782753029; 15.956664832
